RA,DEC,Vmag
54.409954,1.1225353,7.37
54.420757,-74.82257,6.89
54.42934,48.11732,8.88
54.43377,-20.467535,10.24
54.433945,56.739388,6.53
54.436596,7.27178,9.16
54.437363,-20.467333,10.49
54.438347,40.763714,9.65
54.439342,-15.48493,7.05
54.44032,-49.00554,7.55
54.44831,-24.759918,9.64
54.4493,15.430552,6.4
54.457912,4.145467,7.22
54.45993,0.14107847,7.18
54.460476,47.09404,8.92
54.462673,-13.961562,8.45
54.46657,0.9735619,9.55
54.46861,5.6413198,7.78
54.472523,-11.548936,9.47
54.4736,-22.098873,9.39
54.47664,-2.5116541,9.63
54.479042,9.932835,7.92
54.48444,37.43089,7.34
54.49008,-8.49524,9.99
54.496536,67.99456,8.17
54.500755,42.582844,6.41
54.50176,-71.75994,8.69
54.502895,-38.774094,8.61
54.504322,55.170856,7.66
54.511017,-59.7759,8.35
54.512325,-28.571648,10.97
54.512733,18.480995,9.91
54.513367,-51.591953,9.85
54.51397,-29.528215,11.48
54.514153,-32.74121,8.4
54.51446,48.241325,8.56
54.51945,-4.3317733,9.27
54.520336,20.233852,9.45
54.520985,-46.075283,9.61
54.521877,-57.28532,7.43
54.52232,-31.010525,9.29
54.52589,-37.218105,9.99
54.525597,46.276333,9.08
54.53299,-12.243137,9.17
54.534332,35.181183,8.98
54.541336,-31.299566,7.25
54.542656,-59.776382,6.96
54.5433,-7.483344,7.99
54.545574,19.360415,7.72
54.55441,49.083027,7.18
54.556488,-60.965714,9.08
54.564262,43.48178,8.62
54.564205,51.589577,10.38
54.564922,47.57698,7.45
54.56507,-34.3292,9.26
54.566498,68.79368,9.44
54.56934,39.19556,8.99
54.56944,-49.36837,7.51
54.57216,-2.5583982,8.5
54.578537,44.801746,7.22
54.580837,52.599075,9.0
54.582222,56.932713,6.29
54.58276,-57.64126,8.66
54.58325,57.686306,8.79
54.585266,-11.201461,7.81
54.592697,-24.007303,9.69
54.594078,22.499683,10.09
54.59454,44.800537,7.56
54.59993,-36.625004,8.58
54.60138,-37.27239,8.15
54.607407,17.599264,8.93
54.609657,-46.24352,8.02
54.609894,15.149635,7.35
54.612236,49.205677,6.87
54.61684,36.254482,10.33
54.620388,-5.921565,8.76
54.62189,-7.391863,5.86
54.631996,-56.142994,7.96
54.633156,13.605963,8.93
54.637245,-59.82051,8.61
54.63829,-32.38062,9.57
54.64282,-42.678997,8.57
54.64626,48.593487,8.64
54.649574,24.60163,8.22
54.651608,74.73799,7.49
54.65518,-36.682186,9.61
54.665073,-75.76265,7.68
54.669666,22.65961,6.71
54.672848,-24.047302,9.92
54.67584,-35.20425,7.04
54.678715,2.7278514,7.84
54.67897,-21.315672,9.66
54.6795,-0.5143257,8.27
54.698254,-25.608496,8.15
54.69863,-27.943054,6.01
54.699284,59.584087,8.49
54.70444,20.392447,9.34
54.70557,-20.215752,7.74
54.706074,1.6544851,9.77
54.709026,-8.506992,7.28
54.710854,2.8483531,9.68
54.720917,-48.683598,9.04
54.72607,43.13662,8.63
54.726902,42.393,8.98
54.7273,-1.5254848,7.34
54.729553,2.7634969,7.22
54.735844,38.712772,8.35
54.736942,24.56981,10.53
54.73889,4.767373,9.88
54.738274,42.538277,6.73
54.7435,-35.636005,8.08
54.744892,0.7965177,8.66
54.749596,-24.087837,9.08
54.75025,20.915764,6.5
54.754658,-5.6262097,5.97
54.75626,-40.631226,8.3
54.756878,-45.77447,9.65
54.762096,-33.966743,9.38
54.76799,13.682968,9.27
54.76857,9.652843,9.07
54.77697,52.819153,7.79
54.778015,24.702871,7.11
54.77812,-6.4996905,9.45
54.780178,65.66006,7.6
54.780884,25.156786,9.07
54.784046,9.143687,7.76
54.795116,27.956486,8.81
54.79526,11.08996,10.37
54.800713,41.282757,7.84
54.800995,74.45963,8.84
54.80501,21.843252,7.27
54.806137,24.466522,10.4
54.813683,-27.679039,9.32
54.8147,-22.322464,8.43
54.81984,-42.762554,8.27
54.821056,13.891495,6.67
54.821167,-22.329811,11.02
54.82407,48.087067,8.78
54.8268,-4.305255,9.83
54.84556,32.55677,9.53
54.847954,-20.588987,8.52
54.848495,-60.077843,8.58
54.853916,61.323013,8.31
54.854507,75.739624,6.25
54.85586,-10.437278,6.19
54.8573,16.536686,6.18
54.858913,9.065168,8.79
54.859123,41.686386,8.64
54.859936,-15.757555,8.42
54.86631,67.487625,9.5
54.867043,-8.012033,8.19
54.86835,12.815187,9.67
54.868237,75.29489,7.89
54.869045,6.7365975,9.3
54.870926,-39.12094,9.31
54.873634,14.482431,9.9
54.87431,-20.109913,9.58
54.877758,3.7927969,9.86
54.87815,-18.998335,7.78
54.882725,-2.8629863,10.23
54.885727,64.805016,8.59
54.88587,-29.102274,8.28
54.88597,59.445435,6.9
54.88999,18.384912,8.24
54.890854,35.805256,9.76
54.89156,-27.364021,9.16
54.89263,-85.194534,8.96
54.898575,57.473167,9.15
54.90071,-35.94007,8.41
54.90298,-17.36509,6.86
54.90491,59.370045,8.22
54.9069,12.654721,10.02
54.909683,-4.1484275,9.58
54.90967,-43.509922,8.03
54.909775,-3.39301,6.22
54.91239,-7.8391128,8.29
54.913498,-56.23459,6.85
